INFO  - 2015-11-02 01:15:58.685; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4489070/charleston-south-carolina-handguns-for-sale-trade--colt-commander (1516718793618882560)]} 0 0
INFO  - 2015-11-02 01:15:58.702; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4466204/eugene-oregon-shotguns-for-sale-trade--browning-citori-trap (1516718793635659776)]} 0 1
INFO  - 2015-11-02 01:15:58.719; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4227692/chicago-illinois-handguns-want-to-buy--walthers-ppk-s-german-made (1516718793654534144)]} 0 1
INFO  - 2015-11-02 01:15:58.740; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4497947/akron-ammo-for-sale--22-250-ammo (1516718793676554240)]} 0 1
INFO  - 2015-11-02 01:15:58.760; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4297423/akron-handguns-for-sale-trade--smith---wesson-sw99--9mm (1516718793697525760)]} 0 0
INFO  - 2015-11-02 01:15:58.778; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4411238/colorado-springs-colorado-rifles-for-sale--vz-2008-with-fab-defense-furniture-7-62x39 (1516718793715351552)]} 0 1
INFO  - 2015-11-02 01:15:58.796; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4411517/florida-handguns-for-sale--nib-h---k-p30ls-v3-40s-w-da-sa-pistol (1516718793734225920)]} 0 1
INFO  - 2015-11-02 01:15:58.813; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4402762/knoxville-tennessee-ammo-for-sale--7-62x39-ammo (1516718793753100288)]} 0 0
INFO  - 2015-11-02 01:15:58.830; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4302066/denver-colorado-rifles-want-to-buy--looking-for-a-ruger-10-22-receiver-only-or-a-full-gun-for-a-ressonable-price (1516718793770926080)]} 0 0
INFO  - 2015-11-02 01:15:58.848; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/3656469/bloomington-illinois-rifles-for-sale--ruger-10-22-deluxe-sporter--dsp- (1516718793788751872)]} 0 1
INFO  - 2015-11-02 01:15:58.865; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4387650/inland-empire-california-handguns-for-sale--glock-17-gen-3--475 (1516718793807626240)]} 0 0
INFO  - 2015-11-02 01:15:58.882; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=json} {add=[http://www.armslist.com/posts/4408710/greenville-north-carolina-handguns-for-sale--glock-17-gen-4 (1516718793825452032)]} 0 1
